5/12/2020 7:48:18 PM /TELEPLOC a x:38 Y:14 Map:279
5/12/2020 7:48:21 PM /TELEPLOC a x:44 Y:16 Map:279
5/12/2020 7:48:28 PM /TELEPLOC a x:39 Y:15 Map:279
5/12/2020 7:48:31 PM /TELEPLOC a x:36 Y:11 Map:279
5/12/2020 7:48:32 PM /TELEPLOC a x:36 Y:11 Map:279
5/12/2020 7:48:33 PM /TELEPLOC a x:36 Y:11 Map:279
5/12/2020 7:48:36 PM /TELEPLOC a x:30 Y:13 Map:279
5/12/2020 7:48:36 PM /TELEPLOC a x:30 Y:13 Map:279
5/12/2020 7:48:37 PM /TELEPLOC a x:24 Y:15 Map:279
5/12/2020 7:48:37 PM /TELEPLOC a x:18 Y:17 Map:279
5/12/2020 7:48:38 PM /TELEPLOC a x:13 Y:17 Map:279
